#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"chromosome","NZ_CP013992.1",809641,809964,"-",,,"AWN65_RS03510","WP_060381892.1",107,"MULTISPECIES: hypothetical protein"
"chromosome","NZ_CP013992.1",809966,810529,"-",,,"AWN65_RS03515","WP_060381893.1",187,"MULTISPECIES: hypothetical protein"
"chromosome","NZ_CP013992.1",810647,811441,"-",,,"AWN65_RS03520","WP_060381894.1",264,"MULTISPECIES: Fic family protein"
"chromosome","NZ_CP013992.1",811448,811660,"-",,,"AWN65_RS03525","WP_060381895.1",70,"hypothetical protein"
"chromosome","NZ_CP013992.1",811966,812979,"-",,,"AWN65_RS03530","WP_060381896.1",337,"restriction endonuclease"
"chromosome","NZ_CP013992.1",812954,813985,"-",,,"AWN65_RS03535","WP_060381897.1",343,"DNA cytosine methyltransferase"
"chromosome","NZ_CP013992.1",814181,815656,"-",,,"AWN65_RS03540","WP_060381898.1",491,"hypothetical protein"
"chromosome","NZ_CP013992.1",815864,816937,"+",,,"AWN65_RS03545","WP_060381899.1",357,"tyrosine-type recombinase/integrase"
"chromosome","NZ_CP013992.1",819401,819721,"-",,,"AWN65_RS03550","WP_081078390.1",106,"MULTISPECIES: DUF4377 domain-containing protein"
"chromosome","NZ_CP013992.1",820394,821125,"-",,,"AWN65_RS03555","WP_060381901.1",243,"MULTISPECIES: DUF1266 domain-containing protein"
"chromosome","NZ_CP013992.1",822302,823162,"+",,,"AWN65_RS03565","WP_060381903.1",286,"Rpn family recombination-promoting nuclease/putative transposase"
"chromosome","NZ_CP013992.1",823237,824097,"+",,,"AWN65_RS03570","WP_060381904.1",286,"Rpn family recombination-promoting nuclease/putative transposase"
"chromosome","NZ_CP013992.1",824263,824469,"+",,,"AWN65_RS15005","WP_060381905.1",68,"MULTISPECIES: hypothetical protein"
"chromosome","NZ_CP013992.1",824742,824975,"-",,,"AWN65_RS03580","WP_060381906.1",77,"MULTISPECIES: hypothetical protein"
"chromosome","NZ_CP013992.1",825282,826448,"-",,,"AWN65_RS03585","WP_235588342.1",388,"MULTISPECIES: THUMP domain-containing protein"
"chromosome","NZ_CP013992.1",826581,827345,"+",,,"AWN65_RS03590","WP_060381907.1",254,"MULTISPECIES: class I SAM-dependent methyltransferase"
"chromosome","NZ_CP013992.1",827422,828114,"+",,,"AWN65_RS03595","WP_060381908.1",230,"MULTISPECIES: ZIP family metal transporter"
"chromosome","NZ_CP013992.1",828155,828964,"+",,"murQ","AWN65_RS03600","WP_060381909.1",269,"MULTISPECIES: N-acetylmuramic acid 6-phosphate etherase"
"chromosome","NZ_CP013992.1",828987,829214,"+",,,"AWN65_RS03605","WP_060381910.1",75,"MULTISPECIES: DUF6095 family protein"
"chromosome","NZ_CP013992.1",829201,829740,"+",,,"AWN65_RS03610","WP_060381911.1",179,"MULTISPECIES: DUF1572 family protein"
"chromosome","NZ_CP013992.1",829762,830133,"+",,,"AWN65_RS03615","WP_060381912.1",123,"MULTISPECIES: hypothetical protein"
"chromosome","NZ_CP013992.1",830168,831022,"+",,,"AWN65_RS03620","WP_060381913.1",284,"MULTISPECIES: TerC family protein"
"chromosome","NZ_CP013992.1",831560,832591,"-",,,"AWN65_RS03625","WP_060381914.1",343,"MULTISPECIES: M28 family peptidase"
"chromosome","NZ_CP013992.1",832849,833886,"-",,,"AWN65_RS03630","WP_060381915.1",345,"MULTISPECIES: RluA family pseudouridine synthase"
"chromosome","NZ_CP013992.1",833889,834500,"-",,,"AWN65_RS03635","WP_060381916.1",203,"MULTISPECIES: PASTA domain-containing protein"
"chromosome","NZ_CP013992.1",834697,835683,"+",,,"AWN65_RS03640","WP_060381917.1",328,"D-alanine--D-alanine ligase"
"chromosome","NZ_CP013992.1",835683,836147,"+",,"coaD","AWN65_RS03645","WP_060381918.1",154,"MULTISPECIES: pantetheine-phosphate adenylyltransferase"
"chromosome","NZ_CP013992.1",836375,837406,"-",,,"AWN65_RS03650","WP_060381919.1",343,"MULTISPECIES: AMP-binding protein"
"chromosome","NZ_CP013992.1",837406,838335,"-",,,"AWN65_RS03655","WP_060381920.1",309,"CPBP family intramembrane metalloprotease"
"chromosome","NZ_CP013992.1",838401,838742,"+",,"arsC","AWN65_RS03660","WP_060381921.1",113,"MULTISPECIES: arsenate reductase (glutaredoxin)"
"chromosome","NZ_CP013992.1",838808,841285,"+",,,"AWN65_RS03665","WP_060381922.1",825,"MULTISPECIES: TonB-dependent receptor family protein"
"chromosome","NZ_CP013992.1",841339,841506,"-",,,"AWN65_RS15010","WP_014165448.1",55,"MULTISPECIES: hypothetical protein"
"chromosome","NZ_CP013992.1",841629,842699,"-",,"corA","AWN65_RS03675","WP_060381923.1",356,"MULTISPECIES: magnesium/cobalt transporter CorA"
"chromosome","NZ_CP013992.1",843069,844304,"+",,"hutI","AWN65_RS03680","WP_060381924.1",411,"imidazolonepropionase"
"chromosome","NZ_CP013992.1",844390,844773,"-",,,"AWN65_RS03685","WP_060381925.1",127,"MULTISPECIES: nucleoside triphosphate pyrophosphohydrolase family protein"
"chromosome","NZ_CP013992.1",844863,845054,"+",,,"AWN65_RS15150","WP_014165452.1",63,"MULTISPECIES: hypothetical protein"
"chromosome","NZ_CP013992.1",845111,846118,"+",,,"AWN65_RS03695","WP_060381926.1",335,"hypothetical protein"
"chromosome","NZ_CP013992.1",846144,846860,"-",,,"AWN65_RS03700","WP_060381927.1",238,"MULTISPECIES: tRNA threonylcarbamoyladenosine dehydratase"
"chromosome","NZ_CP013992.1",846885,847520,"-",,,"AWN65_RS03705","WP_060381928.1",211,"MULTISPECIES: TatD family hydrolase"
"chromosome","NZ_CP013992.1",847520,847891,"-",,,"AWN65_RS03710","WP_060381929.1",123,"DUF1684 domain-containing protein"
"chromosome","NZ_CP013992.1",848171,849385,"+",,,"AWN65_RS03715","WP_060381930.1",404,"MULTISPECIES: MFS transporter"
"chromosome","NZ_CP013992.1",849512,849871,"+",,,"AWN65_RS03720","WP_060381931.1",119,"MULTISPECIES: BlaI/MecI/CopY family transcriptional regulator"
"chromosome","NZ_CP013992.1",849873,851723,"+",,,"AWN65_RS03725","WP_060381932.1",616,"M56 family metallopeptidase"
"chromosome","NZ_CP013992.1",852470,853360,"-",,,"AWN65_RS03730","WP_060381933.1",296,"MULTISPECIES: hypothetical protein"
"chromosome","NZ_CP013992.1",853485,854525,"+",,,"AWN65_RS03735","WP_060381934.1",346,"MULTISPECIES: formimidoylglutamase"
"chromosome","NZ_CP013992.1",854550,855821,"+",,,"AWN65_RS03740","WP_060381935.1",423,"MULTISPECIES: DEAD/DEAH box helicase"
"chromosome","NZ_CP013992.1",856034,857173,"-",,,"AWN65_RS03745","WP_060381936.1",379,"MULTISPECIES: acyl-CoA dehydrogenase"
"chromosome","NZ_CP013992.1",857262,858332,"+",,,"AWN65_RS03750","WP_060381937.1",356,"MULTISPECIES: anhydro-N-acetylmuramic acid kinase"
"chromosome","NZ_CP013992.1",858411,858989,"+",,,"AWN65_RS03755","WP_060381938.1",192,"MULTISPECIES: chalcone isomerase family protein"
"chromosome","NZ_CP013992.1",859079,860305,"+",,,"AWN65_RS03760","WP_060381939.1",408,"MULTISPECIES: amino acid dehydrogenase"
"chromosome","NZ_CP013992.1",860529,862064,"-",,,"AWN65_RS03765","WP_060381940.1",511,"YifB family Mg chelatase-like AAA ATPase"
"chromosome","NZ_CP013992.1",862220,865222,"+",,,"AWN65_RS03770","WP_060381941.1",1000,"amidohydrolase family protein"
"chromosome","NZ_CP013992.1",865256,866557,"+",,,"AWN65_RS03775","WP_060381942.1",433,"MULTISPECIES: amidohydrolase family protein"
"chromosome","NZ_CP013992.1",866726,867799,"+",,"prfA","AWN65_RS03780","WP_060381943.1",357,"MULTISPECIES: peptide chain release factor 1"
"chromosome","NZ_CP013992.1",867976,870003,"+",,,"AWN65_RS03785","WP_060381944.1",675,"MULTISPECIES: DUF5723 family protein"
"chromosome","NZ_CP013992.1",870785,871612,"+",,"pyrF","AWN65_RS03790","WP_060381945.1",275,"MULTISPECIES: orotidine-5\\'-phosphate decarboxylase"
"chromosome","NZ_CP013992.1",871653,872483,"+",,,"AWN65_RS03795","WP_060381946.1",276,"MULTISPECIES: helical backbone metal receptor"
"chromosome","NZ_CP013992.1",872509,873282,"+",,,"AWN65_RS03800","WP_060381947.1",257,"alpha/beta hydrolase"
"chromosome","NZ_CP013992.1",874037,875398,"+",,,"AWN65_RS15155","WP_063744209.1",453,"hypothetical protein"
"chromosome","NZ_CP013992.1",876006,876383,"-",,,"AWN65_RS03810","WP_060381948.1",125,"MULTISPECIES: helix-turn-helix transcriptional regulator"
"chromosome","NZ_CP013992.1",876800,877210,"-",,,"AWN65_RS03815","WP_060381949.1",136,"MULTISPECIES: helix-turn-helix transcriptional regulator"
"chromosome","NZ_CP013992.1",877421,877660,"+",,,"AWN65_RS03820","WP_123861986.1",79,"MULTISPECIES: hypothetical protein"
"chromosome","NZ_CP013992.1",879677,880852,"+",,,"AWN65_RS03855","WP_060381951.1",391,"MULTISPECIES: acetyl-CoA C-acyltransferase"
"chromosome","NZ_CP013992.1",880937,881698,"+",,,"AWN65_RS03860","WP_060381952.1",253,"MULTISPECIES: C40 family peptidase"
"chromosome","NZ_CP013992.1",881783,883171,"+",,"mnmE","AWN65_RS03865","WP_060381953.1",462,"MULTISPECIES: tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE"
"chromosome","NZ_CP013992.1",883423,883779,"+",,,"AWN65_RS03870","WP_060381954.1",118,"helix-turn-helix domain-containing protein"
"chromosome","NZ_CP013992.1",883859,885004,"+",,,"AWN65_RS03875","WP_060381955.1",381,"site-specific integrase"
"chromosome","NZ_CP013992.1",885001,886407,"+",,,"AWN65_RS03880","WP_060381956.1",468,"hypothetical protein"
"chromosome","NZ_CP013992.1",886485,886835,"+",,,"AWN65_RS03885","WP_060381957.1",116,"helix-turn-helix domain-containing protein"
"chromosome","NZ_CP013992.1",886825,887202,"+",,,"AWN65_RS03890","WP_060381958.1",125,"hypothetical protein"
"chromosome","NZ_CP013992.1",887202,888677,"+",,,"AWN65_RS03895","WP_060381959.1",491,"phage/plasmid primase, P4 family"
"chromosome","NZ_CP013992.1",888723,889688,"+",,,"AWN65_RS03900","WP_060381960.1",321,"DUF6371 domain-containing protein"
"chromosome","NZ_CP013992.1",889685,889891,"+",,,"AWN65_RS03905","WP_060381961.1",68,"hypothetical protein"
"chromosome","NZ_CP013992.1",889940,890527,"+",,,"AWN65_RS03910","WP_060381962.1",195,"hypothetical protein"
"chromosome","NZ_CP013992.1",890982,891443,"+",,,"AWN65_RS03915","WP_060381963.1",153,"hypothetical protein"
"chromosome","NZ_CP013992.1",891450,892079,"+",,,"AWN65_RS03920","WP_060381964.1",209,"hypothetical protein"
"chromosome","NZ_CP013992.1",892140,892775,"+",,,"AWN65_RS03925","WP_060381965.1",211,"hypothetical protein"
"chromosome","NZ_CP013992.1",893150,894022,"+",,,"AWN65_RS03930","WP_060381966.1",290,"Rpn family recombination-promoting nuclease/putative transposase"
"chromosome","NZ_CP013992.1",894457,895443,"-",,,"AWN65_RS03935","WP_060381967.1",328,"endo alpha-1,4 polygalactosaminidase"
"chromosome","NZ_CP013992.1",896091,896663,"+",,,"AWN65_RS03940","WP_060381968.1",190,"MULTISPECIES: TetR/AcrR family transcriptional regulator"
"chromosome","NZ_CP013992.1",896720,897352,"+",,,"AWN65_RS03945","WP_060381969.1",210,"MULTISPECIES: NAD(P)H-dependent oxidoreductase"
"chromosome","NZ_CP013992.1",897359,897775,"+",,,"AWN65_RS03950","WP_060381970.1",138,"MULTISPECIES: organic hydroperoxide resistance protein"
"chromosome","NZ_CP013992.1",898498,899358,"-",,,"AWN65_RS03955","WP_060381971.1",286,"hypothetical protein"
"chromosome","NZ_CP013992.1",899677,900132,"-",,,"AWN65_RS03960","WP_060381972.1",151,"MULTISPECIES: ankyrin repeat domain-containing protein"
"chromosome","NZ_CP013992.1",900218,901669,"-",,,"AWN65_RS03965","WP_174647509.1",483,"MULTISPECIES: catalase"
"chromosome","NZ_CP013992.1",901726,903195,"-",,,"AWN65_RS03970","WP_060381974.1",489,"MULTISPECIES: catalase"
"chromosome","NZ_CP013992.1",903571,904206,"+",,,"AWN65_RS03975","WP_060381975.1",211,"MULTISPECIES: peroxiredoxin"
"chromosome","NZ_CP013992.1",904292,904600,"+",,,"AWN65_RS03980","WP_014164670.1",102,"MULTISPECIES: thioredoxin family protein"
"chromosome","NZ_CP013992.1",904613,904870,"+",,,"AWN65_RS03985","WP_060381976.1",85,"MULTISPECIES: hypothetical protein"
"chromosome","NZ_CP013992.1",904912,905541,"-",,,"AWN65_RS03990","WP_060381977.1",209,"MULTISPECIES: protein-tyrosine-phosphatase"
"chromosome","NZ_CP013992.1",905522,906154,"-",,,"AWN65_RS03995","WP_060381978.1",210,"MULTISPECIES: class I SAM-dependent methyltransferase"
"chromosome","NZ_CP013992.1",906158,906622,"-",,,"AWN65_RS04000","WP_060381979.1",154,"MULTISPECIES: DUF6428 family protein"
"chromosome","NZ_CP013992.1",906664,906990,"-",,,"AWN65_RS04005","WP_060381980.1",108,"MULTISPECIES: metalloregulator ArsR/SmtB family transcription factor"
"chromosome","NZ_CP013992.1",907107,907604,"+",,"tpx","AWN65_RS04010","WP_060381981.1",165,"MULTISPECIES: thiol peroxidase"
"chromosome","NZ_CP013992.1",907604,907978,"+",,,"AWN65_RS04015","WP_060381982.1",124,"MULTISPECIES: diacylglycerol kinase family protein"
"chromosome","NZ_CP013992.1",908018,910519,"+",,,"AWN65_RS04020","WP_060381983.1",833,"DNA translocase FtsK"
"chromosome","NZ_CP013992.1",910527,911165,"+",,,"AWN65_RS04025","WP_235588343.1",212,"MULTISPECIES: outer membrane lipoprotein carrier protein LolA"
"chromosome","NZ_CP013992.1",911174,912634,"+",,,"AWN65_RS04030","WP_060381985.1",486,"MULTISPECIES: LptF/LptG family permease"
"chromosome","NZ_CP013992.1",912615,913748,"+",,"ribB","AWN65_RS04035","WP_060381986.1",377,"MULTISPECIES: 3,4-dihydroxy-2-butanone-4-phosphate synthase"
"chromosome","NZ_CP013992.1",914171,915718,"+",,,"AWN65_RS04045","WP_060381987.1",515,"type I restriction-modification system subunit M"
"chromosome","NZ_CP013992.1",915715,916905,"+",,,"AWN65_RS04050","WP_060381988.1",396,"restriction endonuclease subunit S"
"chromosome","NZ_CP013992.1",916994,917755,"+",,,"AWN65_RS14745","WP_060381989.1",253,"hypothetical protein"
"chromosome","NZ_CP013992.1",917757,920861,"+",,,"AWN65_RS04060","WP_060381990.1",1034,"type I restriction endonuclease subunit R"
"chromosome","NZ_CP013992.1",921085,923892,"-",,"uvrA","AWN65_RS04065","WP_060381991.1",935,"MULTISPECIES: excinuclease ABC subunit UvrA"
"chromosome","NZ_CP013992.1",924783,925424,"-",,,"AWN65_RS04070","WP_060381992.1",213,"MULTISPECIES: hypothetical protein"
"chromosome","NZ_CP013992.1",925479,926501,"-",,,"AWN65_RS04075","WP_060381993.1",340,"MULTISPECIES: hypothetical protein"
"chromosome","NZ_CP013992.1",926501,927211,"-",,,"AWN65_RS04080","WP_060381994.1",236,"MULTISPECIES: NRDE family protein"
"chromosome","NZ_CP013992.1",927199,927687,"-",,,"AWN65_RS04085","WP_060381995.1",162,"MULTISPECIES: hypothetical protein"
"chromosome","NZ_CP013992.1",928422,929441,"-",,,"AWN65_RS04090","WP_060381996.1",339,"MULTISPECIES: YncE family protein"
"chromosome","NZ_CP013992.1",929448,929843,"-",,,"AWN65_RS04095","WP_060381997.1",131,"MULTISPECIES: thioredoxin family protein"
"chromosome","NZ_CP013992.1",929860,930450,"-",,,"AWN65_RS04100","WP_060381998.1",196,"MULTISPECIES: redoxin domain-containing protein"
"chromosome","NZ_CP013992.1",930535,931215,"-",,,"AWN65_RS04105","WP_060381999.1",226,"MULTISPECIES: Crp/Fnr family transcriptional regulator"
"chromosome","NZ_CP013992.1",931779,932300,"-",,,"AWN65_RS04110","WP_060382000.1",173,"MULTISPECIES: superoxide dismutase family protein"
"chromosome","NZ_CP013992.1",933503,933907,"+",,,"AWN65_RS14750","WP_145902538.1",134,"hypothetical protein"
"chromosome","NZ_CP013992.1",934332,936128,"-",,,"AWN65_RS04120","WP_060382002.1",598,"MULTISPECIES: acyl-CoA dehydrogenase family protein"
"chromosome","NZ_CP013992.1",936166,936519,"-",,,"AWN65_RS04125","WP_060382003.1",117,"four helix bundle protein"
"chromosome","NZ_CP013992.1",936555,937739,"-",,,"AWN65_RS04130","WP_060382004.1",394,"acetyl-CoA C-acyltransferase"
"chromosome","NZ_CP013992.1",937833,940223,"-",,,"AWN65_RS04135","WP_060382005.1",796,"3-hydroxyacyl-CoA dehydrogenase/enoyl-CoA hydratase family protein"
"chromosome","NZ_CP013992.1",940231,940674,"-",,,"AWN65_RS04140","WP_060382006.1",147,"MULTISPECIES: MarR family transcriptional regulator"
"chromosome","NZ_CP013992.1",941125,941922,"+",,,"AWN65_RS04145","WP_060382007.1",265,"helix-turn-helix domain-containing protein"
"chromosome","NZ_CP013992.1",941934,942605,"+",,,"AWN65_RS04150","WP_060382008.1",223,"MULTISPECIES: type 1 glutamine amidotransferase domain-containing protein"
"chromosome","NZ_CP013992.1",942837,943559,"+",,,"AWN65_RS04155","WP_060382009.1",240,"MULTISPECIES: hypothetical protein"
"chromosome","NZ_CP013992.1",943589,944776,"+",,"mnmA","AWN65_RS04160","WP_060382010.1",395,"MULTISPECIES: tRNA 2-thiouridine(34) synthase MnmA"
"chromosome","NZ_CP013992.1",944823,945035,"+",,,"AWN65_RS14950","WP_060382011.1",70,"MULTISPECIES: hypothetical protein"
"chromosome","NZ_CP013992.1",945286,945684,"+",,,"AWN65_RS14955","WP_060382012.1",132,"MULTISPECIES: hypothetical protein"
"chromosome","NZ_CP013992.1",945951,946889,"+",,,"AWN65_RS04175","WP_060382013.1",312,"MULTISPECIES: nitronate monooxygenase"
"chromosome","NZ_CP013992.1",946907,947590,"-",,,"AWN65_RS04180","WP_060382014.1",227,"MULTISPECIES: NAD-dependent deacylase"
"chromosome","NZ_CP013992.1",947704,948381,"+",,,"AWN65_RS04185","WP_060382015.1",225,"MULTISPECIES: RNA methyltransferase"
"chromosome","NZ_CP013992.1",948610,949170,"+",,,"AWN65_RS04190","WP_060382016.1",186,"MULTISPECIES: 1-acyl-sn-glycerol-3-phosphate acyltransferase"
"chromosome","NZ_CP013992.1",949363,950508,"+",,,"AWN65_RS04195","WP_060382017.1",381,"MULTISPECIES: M14 family metallopeptidase"
"chromosome","NZ_CP013992.1",950569,951048,"+",,,"AWN65_RS04200","WP_014165284.1",159,"MULTISPECIES: winged helix-turn-helix transcriptional regulator"
"chromosome","NZ_CP013992.1",951717,952799,"+",,,"AWN65_RS04205","WP_060382018.1",360,"MULTISPECIES: efflux RND transporter periplasmic adaptor subunit"
"chromosome","NZ_CP013992.1",952799,954055,"+",,,"AWN65_RS04210","WP_060382019.1",418,"MULTISPECIES: ABC transporter permease"
"chromosome","NZ_CP013992.1",954055,954732,"+",,,"AWN65_RS04215","WP_060382020.1",225,"MULTISPECIES: ABC transporter ATP-binding protein"
"chromosome","NZ_CP013992.1",954722,955090,"-",,,"AWN65_RS04220","WP_060382021.1",122,"MULTISPECIES: helix-turn-helix transcriptional regulator"
"chromosome","NZ_CP013992.1",955183,955797,"+",,,"AWN65_RS04225","WP_060382022.1",204,"MULTISPECIES: nitroreductase family protein"
"chromosome","NZ_CP013992.1",955908,956477,"-",,,"AWN65_RS04230","WP_060382023.1",189,"MULTISPECIES: pentapeptide repeat-containing protein"
"chromosome","NZ_CP013992.1",956645,958462,"-",,,"AWN65_RS04235","WP_060382024.1",605,"DEAD/DEAH box helicase"
"chromosome","NZ_CP013992.1",958752,959144,"-",,,"AWN65_RS04240","WP_060382025.1",130,"MULTISPECIES: hypothetical protein"
"chromosome","NZ_CP013992.1",959164,959811,"-",,"pyrE","AWN65_RS04245","WP_060382026.1",215,"MULTISPECIES: orotate phosphoribosyltransferase"
"chromosome","NZ_CP013992.1",959819,960424,"+",,,"AWN65_RS04250","WP_060382027.1",201,"MULTISPECIES: NUDIX domain-containing protein"
"chromosome","NZ_CP013992.1",961016,962686,"+",,"asnB","AWN65_RS04255","WP_060382028.1",556,"MULTISPECIES: asparagine synthase B"
"chromosome","NZ_CP013992.1",963089,965029,"+",,"gyrB","AWN65_RS04260","WP_060382029.1",646,"MULTISPECIES: DNA topoisomerase (ATP-hydrolyzing) subunit B"
"chromosome","NZ_CP013992.1",965208,966140,"+",,,"AWN65_RS04265","WP_060382030.1",310,"MULTISPECIES: malate dehydrogenase"
"chromosome","NZ_CP013992.1",966334,969300,"+",,"secDF","AWN65_RS04270","WP_060382031.1",988,"MULTISPECIES: protein translocase subunit SecDF"
"chromosome","NZ_CP013992.1",969384,969719,"+",,,"AWN65_RS04275","WP_060382032.1",111,"MULTISPECIES: tRNA-binding protein"
"chromosome","NZ_CP013992.1",970290,970748,"+",,"msrB","AWN65_RS04280","WP_060382033.1",152,"MULTISPECIES: peptide-methionine (R)-S-oxide reductase MsrB"
"chromosome","NZ_CP013992.1",970762,971301,"+",,"msrA","AWN65_RS04285","WP_060383815.1",179,"MULTISPECIES: peptide-methionine (S)-S-oxide reductase MsrA"
"chromosome","NZ_CP013992.1",971312,971668,"+",,"ytxJ","AWN65_RS04290","WP_060383816.1",118,"MULTISPECIES: bacillithiol system redox-active protein YtxJ"
"chromosome","NZ_CP013992.1",972016,972633,"-",,,"AWN65_RS04295","WP_060382034.1",205,"MULTISPECIES: outer membrane beta-barrel protein"
"chromosome","NZ_CP013992.1",973519,975939,"+",,"pheT","AWN65_RS04300","WP_060382035.1",806,"phenylalanine--tRNA ligase subunit beta"
"chromosome","NZ_CP013992.1",976200,977387,"-",,,"AWN65_RS04305","WP_060382036.1",395,"hypothetical protein"
"chromosome","NZ_CP013992.1",977466,978749,"-",,"fahA","AWN65_RS04310","WP_060382037.1",427,"MULTISPECIES: fumarylacetoacetase"
"chromosome","NZ_CP013992.1",978864,980138,"+",,,"AWN65_RS04315","WP_060382038.1",424,"MULTISPECIES: serine hydroxymethyltransferase"
"chromosome","NZ_CP013992.1",980270,981337,"+",,"aroC","AWN65_RS04320","WP_060382039.1",355,"MULTISPECIES: chorismate synthase"
"chromosome","NZ_CP013992.1",981337,982596,"+",,,"AWN65_RS04325","WP_060382040.1",419,"MULTISPECIES: dicarboxylate/amino acid:cation symporter"
"chromosome","NZ_CP013992.1",982736,983311,"-",,,"AWN65_RS04330","WP_060383817.1",191,"MULTISPECIES: GNAT family N-acetyltransferase"
"chromosome","NZ_CP013992.1",983385,983666,"+",,,"AWN65_RS04335","WP_060382041.1",93,"hypothetical protein"
"chromosome","NZ_CP013992.1",984043,984294,"+",,,"AWN65_RS04340","WP_060382042.1",83,"hypothetical protein"
"chromosome","NZ_CP013992.1",984440,985300,"+",,,"AWN65_RS04345","WP_060382043.1",286,"MULTISPECIES: helix-turn-helix domain-containing protein"
"chromosome","NZ_CP013992.1",985368,985901,"+",,,"AWN65_RS04350","WP_060382044.1",177,"MULTISPECIES: carboxymuconolactone decarboxylase family protein"
"chromosome","NZ_CP013992.1",985921,986322,"+",,,"AWN65_RS04355","WP_060382045.1",133,"MULTISPECIES: DoxX family protein"
"chromosome","NZ_CP013992.1",986310,986720,"+",,,"AWN65_RS04360","WP_060382046.1",136,"MULTISPECIES: OsmC family protein"
"chromosome","NZ_CP013992.1",988168,988731,"+",,,"AWN65_RS04365","WP_060382047.1",187,"MULTISPECIES: Crp/Fnr family transcriptional regulator"
"chromosome","NZ_CP013992.1",988933,989610,"+",,,"AWN65_RS04370","WP_060383818.1",225,"MULTISPECIES: type 1 glutamine amidotransferase domain-containing protein"
"chromosome","NZ_CP013992.1",989675,990067,"+",,,"AWN65_RS04375","WP_060383819.1",130,"MULTISPECIES: VOC family protein"
"chromosome","NZ_CP013992.1",990607,992784,"+",,"katG","AWN65_RS04380","WP_060382048.1",725,"catalase/peroxidase HPI"
"chromosome","NZ_CP013992.1",993079,995481,"-",,,"AWN65_RS04385","WP_060382049.1",800,"MULTISPECIES: alpha-ketoacid dehydrogenase subunit alpha/beta"
"chromosome","NZ_CP013992.1",995660,998464,"-",,,"AWN65_RS04390","WP_060382050.1",934,"hypothetical protein"
"chromosome","NZ_CP013992.1",999100,1000014,"+",,,"AWN65_RS04395","WP_060382051.1",304,"MULTISPECIES: GIY-YIG nuclease family protein"
"chromosome","NZ_CP013992.1",1000402,1001250,"+",,,"AWN65_RS04400","WP_060382052.1",282,"phosphoribosyltransferase"
"chromosome","NZ_CP013992.1",1001237,1001563,"+",,,"AWN65_RS04405","WP_060382053.1",108,"hypothetical protein"
"chromosome","NZ_CP013992.1",1001729,1002808,"+",,,"AWN65_RS04410","WP_060382054.1",359,"reverse transcriptase family protein"
"chromosome","NZ_CP013992.1",1003079,1004440,"-",,,"AWN65_RS15160","WP_063744209.1",453,"hypothetical protein"
"chromosome","NZ_CP013992.1",1004736,1005356,"-",,,"AWN65_RS04420","WP_060382055.1",206,"NADAR family protein"
"chromosome","NZ_CP013992.1",1005390,1006448,"-",,,"AWN65_RS04425","WP_060382056.1",352,"hypothetical protein"
"chromosome","NZ_CP013992.1",1006847,1010278,"-",,,"AWN65_RS04430","WP_060382057.1",1143,"methylmalonyl-CoA mutase family protein"
"chromosome","NZ_CP013992.1",1010404,1011126,"+",,,"AWN65_RS04435","WP_060382058.1",240,"MULTISPECIES: DUF4197 domain-containing protein"
"chromosome","NZ_CP013992.1",1011441,1012970,"+",,"guaA","AWN65_RS04440","WP_060382059.1",509,"MULTISPECIES: glutamine-hydrolyzing GMP synthase"
"chromosome","NZ_CP013992.1",1013067,1014950,"+",,,"AWN65_RS04445","WP_060382060.1",627,"LysM peptidoglycan-binding domain-containing protein"
"chromosome","NZ_CP013992.1",1015132,1017060,"+",,,"AWN65_RS04450","WP_060382061.1",642,"LysM peptidoglycan-binding domain-containing protein"
"chromosome","NZ_CP013992.1",1017060,1017464,"+",,,"AWN65_RS04455","WP_060382062.1",134,"MULTISPECIES: OsmC family protein"
"chromosome","NZ_CP013992.1",1017685,1017909,"+",,,"AWN65_RS04460","WP_060382063.1",74,"MULTISPECIES: DUF3820 family protein"
"chromosome","NZ_CP013992.1",1018068,1019681,"+",,,"AWN65_RS04465","WP_060382064.1",537,"MULTISPECIES: CTP synthase"
"chromosome","NZ_CP013992.1",1019761,1021641,"+",,"yidC","AWN65_RS04470","WP_060382065.1",626,"membrane protein insertase YidC"
"chromosome","NZ_CP013992.1",1022019,1022327,"+",,,"AWN65_RS04475","WP_060382066.1",102,"MULTISPECIES: hypothetical protein"
"chromosome","NZ_CP013992.1",1022328,1022663,"+",,,"AWN65_RS04480","WP_060382067.1",111,"MULTISPECIES: hypothetical protein"
"chromosome","NZ_CP013992.1",1022774,1023910,"+",,,"AWN65_RS04485","WP_060382068.1",378,"glutathionylspermidine synthase family protein"
"chromosome","NZ_CP013992.1",1024134,1024934,"-",,,"AWN65_RS04490","WP_060382069.1",266,"MULTISPECIES: TIGR00266 family protein"
"chromosome","NZ_CP013992.1",1025018,1025599,"-",,,"AWN65_RS04495","WP_060382070.1",193,"MULTISPECIES: tRNA-(m"
"chromosome","NZ_CP013992.1",1025673,1026899,"+",,,"AWN65_RS04500","WP_060383820.1",408,"MULTISPECIES: glycosyltransferase family 4 protein"
"chromosome","NZ_CP013992.1",1026983,1030954,"+",,,"AWN65_RS04505","WP_060382071.1",1323,"PAS domain S-box protein"
"chromosome","NZ_CP013992.1",1030962,1031819,"+",,,"AWN65_RS04510","WP_060382072.1",285,"MULTISPECIES: zinc metallopeptidase"
